X,Y,Z
-13.05398683,-15.80423331,-32.15522778
-12.10533213,-15.61855155,-31.69974498
-12.1525287,-15.63013911,-31.72326334
-12.19981312,-15.64176666,-31.74686286
-12.24718573,-15.65343426,-31.77054367
-12.29464687,-15.66514197,-31.79430589
-12.53329259,-15.72428426,-31.91434235
-12.58129215,-15.73623391,-31.9385956
-12.62938265,-15.74822409,-31.96293113
-12.67756444,-15.76025488,-31.98734908
-12.72583788,-15.77232634,-32.01184957
-13.01742275,-15.84561281,-32.16059335
-13.06634758,-15.8579708,-32.18567539
-13.11536689,-15.87036999,-32.21084105
-13.21369039,-15.89529226,-32.26142383
-13.26299531,-15.90781549,-32.28684123
-13.31239615,-15.92038019,-32.31234282
-13.36189328,-15.93298645,-32.33792876
-13.41148707,-15.94563434,-32.36359918
-13.51096609,-15.97105529,-32.41519408
-13.66091873,-16.00950075,-32.4932238
-13.71110019,-16.02239994,-32.51940428
-13.76138091,-16.03534128,-32.54567031
-13.81176124,-16.04832485,-32.57202203
-13.86224157,-16.06135072,-32.59845961
-13.91282228,-16.07441897,-32.6249832
-13.96350375,-16.08752967,-32.65159296
-14.01428635,-16.10068291,-32.67828906
-14.21843574,-16.15372283,-32.78594001
-14.26972976,-16.16708995,-32.81307021
-14.32112723,-16.1805001,-32.84028773
-14.37262853,-16.19395335,-32.86759274
-14.42423405,-16.20744979,-32.89498541
-14.47594418,-16.22098951,-32.9224659
-14.52775933,-16.23457258,-32.95003439
-14.57967988,-16.2481991,-32.97769106
-14.63170623,-16.26186915,-33.00543608
-14.78842405,-16.30314134,-33.089203
-14.89343893,-16.33087539,-33.14549263
-14.94610848,-16.34480847,-33.17377149
-14.99888663,-16.35878569,-33.20213996
-15.05177381,-16.37280715,-33.23059823
-15.10477042,-16.38687295,-33.25914647
-15.15787688,-16.40098318,-33.28778489
-15.21109358,-16.41513793,-33.31651366
-16.29922931,-16.7077313,-33.9103674
-12.06976706,-15.66014081,-31.70663309
-12.11691609,-15.67172112,-31.73007942
-12.16415269,-15.68334152,-31.7536069
-12.2114772,-15.69500204,-31.77721563
-12.25888996,-15.70670277,-31.80090574
-12.30639132,-15.71844374,-31.82467736
