X,Y,Z
-15.41131991941887,-14.276984189309362,-32.46997357581621
-9.948904448086632,-13.20556022066175,-29.70768326693817
-9.957920187364095,-13.253347011959407,-29.734604495126636
-15.423428652744324,-14.520785245586259,-32.57817107230061
-9.966961102236379,-13.301232262337038,-29.761600898285458
-10.0096344012961,-13.310302375917038,-29.78189534132247
-15.33033554608315,-14.546175160094243,-32.54716940302601
-15.383404212061967,-14.559293272130077,-32.576521271127355
-10.01873379574949,-13.358311727665988,-29.808968978821678
-10.061514341660283,-13.36744048249152,-29.829339724388724
-15.343454407964401,-14.59786455182291,-32.57502148876415
-10.0278585833425,-13.406420256583342,-29.836118169112947
-10.07067253958389,-13.415574490231396,-29.856491004787472
-10.113560807992362,-13.424762211320822,-29.876938367087213
-15.303578693334238,-14.636499622086335,-32.573671714662325
-15.356614313147467,-14.649660201544771,-32.60296071175333
-10.079856302305474,-13.463808060936598,-29.883718077061875
-10.12277813553956,-13.473021433066888,-29.904167701271795
-15.316739909331423,-14.68836083612808,-32.601685366753046
-15.36981534396756,-14.701562502925492,-32.63098724679587
-10.261336951025223,-13.549300551529782,-29.99327778501282
-15.224047346736727,-14.713963286150188,-32.571422154345484
-15.276938898618425,-14.727126187614164,-32.600560083537054
-15.329942174434658,-14.740329013879478,-32.62978639187798
-10.098300717254885,-13.560575248885133,-29.938400175686482
-10.184354087664808,-13.579138783553077,-29.979383874339668
-10.227493116806503,-13.588471420209347,-29.99998803056325
-10.270707435375515,-13.597838013032371,-30.020667153614575
-15.237210734974726,-14.765956794717775,-32.59958485415299
-15.290142248405886,-14.779160630849905,-32.6287356624869
-10.23685577775776,-13.637083491924649,-30.027451233252712
-10.280104131635236,-13.646476259248182,-30.04813313806907
-10.366827992437353,-13.665364171849237,-30.089722373396548
-10.410304094061033,-13.674859384881568,-30.110629853096768
-15.144805806152814,-14.7916885723306,-32.5697725269579
-15.30338665429054,-14.83130274721731,-32.656998853999205
-10.24624457586969,-13.685796641974358,-30.054991103264108
-10.41982973902882,-13.723678192867228,-30.138181706255473
